relation	column	type	references	description	version
columns	is_updatable	yes_or_no		YES if the column is updatable, NO if not (Columns in base tables are always updatable, columns in views not necessarily)	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	maximum_cardinality	cardinal_number		Always null, because arrays always have unlimited maximum cardinality in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	numeric_precision	cardinal_number		If data_type identifies a numeric type, this column contains the (declared or implicit) precision of the type for this column. The precision indicates the number of significant digits. It can be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	numeric_precision	cardinal_number		If data_type identifies a numeric type, this column contains the (declared or implicit) precision of the type for this column. The precision indicates the number of significant digits. It may be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	7.4,8.0,8.1,8.2
columns	numeric_precision_radix	cardinal_number		If data_type identifies a numeric type, this column indicates in which base the values in the columns numeric_precision and numeric_scale are expressed. The value is either 2 or 10. For all other data types, this column is null	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	numeric_scale	cardinal_number		If data_type identifies an exact numeric type, this column contains the (declared or implicit) scale of the type for this column. The scale indicates the number of significant digits to the right of the decimal point. It can be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	numeric_scale	cardinal_number		If data_type identifies an exact numeric type, this column contains the (declared or implicit) scale of the type for this column. The scale indicates the number of significant digits to the right of the decimal point. It may be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	7.4,8.0,8.1,8.2
columns	ordinal_position	cardinal_number		Ordinal position of the column within the table (count starts at 1)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	scope_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	scope_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	scope_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	table_catalog	sql_identifier		Name of the database containing the table (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	table_name	sql_identifier		Name of the table	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	table_schema	sql_identifier		Name of the schema containing the table	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	udt_catalog	sql_identifier		Name of the database that the column data type (the underlying type of the domain, if applicable) is defined in (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	udt_name	sql_identifier		Name of the column data type (the underlying type of the domain, if applicable)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	udt_schema	sql_identifier		Name of the schema that the column data type (the underlying type of the domain, if applicable) is defined in	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_column-usage	column_name	sql_identifier		Name of the column that is used by some constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_column-usage	constraint_catalog	sql_identifier		Name of the database that contains the constraint (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_column-usage	constraint_name	sql_identifier		Name of the constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_column-usage	constraint_schema	sql_identifier		Name of the schema that contains the constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_column-usage	table_catalog	sql_identifier		Name of the database that contains the table that contains the column that is used by some constraint (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_column-usage	table_name	sql_identifier		Name of the table that contains the column that is used by some constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_column-usage	table_schema	sql_identifier		Name of the schema that contains the table that contains the column that is used by some constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_table-usage	constraint_catalog	sql_identifier		Name of the database that contains the constraint (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_table-usage	constraint_name	sql_identifier		Name of the constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_table-usage	constraint_schema	sql_identifier		Name of the schema that contains the constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_table-usage	table_catalog	sql_identifier		Name of the database that contains the table that is used by some constraint (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_table-usage	table_name	sql_identifier		Name of the table that is used by some constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
constraint_table-usage	table_schema	sql_identifier		Name of the schema that contains the table that is used by some constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
data_type-privileges	dtd_identifier	sql_identifier		The identifier of the data type descriptor, which is unique among the data type descriptors for that same object	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
data_type-privileges	object_catalog	sql_identifier		Name of the database that contains the described object (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
data_type-privileges	object_name	sql_identifier		Name of the described object	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
data_type-privileges	object_schema	sql_identifier		Name of the schema that contains the described object	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
data_type-privileges	object_type	character_data		The type of the described object: one of TABLE (the data type descriptor pertains to a column of that table), DOMAIN (the data type descriptors pertains to that domain), ROUTINE (the data type descriptor pertains to a parameter or the return data type of that function)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_constraints	constraint_catalog	sql_identifier		Name of the database that contains the constraint (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_constraints	constraint_name	sql_identifier		Name of the constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_constraints	constraint_schema	sql_identifier		Name of the schema that contains the constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_constraints	domain_catalog	sql_identifier		Name of the database that contains the domain (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_constraints	domain_name	sql_identifier		Name of the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_constraints	domain_schema	sql_identifier		Name of the schema that contains the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_constraints	initially_deferred	character_data		YES if the constraint is deferrable and initially deferred, NO if not	7.4,8.0,8.1,8.2,8.3,8.4
domain_constraints	initially_deferred	yes_or_no		YES if the constraint is deferrable and initially deferred, NO if not	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_constraints	is_deferrable	character_data		YES if the constraint is deferrable, NO if not	7.4,8.0,8.1,8.2,8.3,8.4
domain_constraints	is_deferrable	yes_or_no		YES if the constraint is deferrable, NO if not	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_udt-usage	domain_catalog	sql_identifier		Name of the database that contains the domain (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_udt-usage	domain_name	sql_identifier		Name of the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_udt-usage	domain_schema	sql_identifier		Name of the schema that contains the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_udt-usage	udt_catalog	sql_identifier		Name of the database that the domain data type is defined in (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_udt-usage	udt_name	sql_identifier		Name of the domain data type	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domain_udt-usage	udt_schema	sql_identifier		Name of the schema that the domain data type is defined in	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	character_maximum_length	cardinal_number		If the domain has a character or bit string type, the declared maximum length; null for all other data types or if no maximum length was declared	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	character_octet_length	cardinal_number		If the domain has a character type, the maximum possible length in octets (bytes) of a datum (this should not be of concern to PostgreSQL users); null for all other data types	7.4,8.0,8.1,8.2,8.3,8.4
domains	character_octet_length	cardinal_number		If the domain has a character type, the maximum possible length in octets (bytes) of a datum; null for all other data types. The maximum octet length depends on the declared character maximum length (see above) and the server encoding	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	character_set_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	character_set_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	character_set_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	collation_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
domains	collation_catalog	sql_identifier		Name of the database containing the collation of the domain (always the current database), null if default or the data type of the domain is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	collation_catalog	sql_identifier		Not yet implemented	9.1
domains	collation_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
domains	collation_name	sql_identifier		Name of the collation of the domain, null if default or the data type of the domain is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	collation_name	sql_identifier		Not yet implemented	9.1
domains	collation_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
domains	collation_schema	sql_identifier		Name of the schema containing the collation of the domain, null if default or the data type of the domain is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	collation_schema	sql_identifier		Not yet implemented	9.1
domains	data_type	character_data		Data type of the domain, if it is a built-in type, or ARRAY if it is some array (in that case, see the view element_types), else USER-DEFINED (in that case, the type is identified in udt_name and associated columns)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	datetime_precision	cardinal_number		If data_type identifies a date, time, timestamp, or interval type, this column contains the (declared or implicit) fractional seconds precision of the type for this domain, that is, the number of decimal digits maintained following the decimal point in the seconds value. For all other data types, this column is null	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	datetime_precision	cardinal_number		If the domain has a date, time, or interval type, the declared precision; null for all other data types or if no precision was declared	7.4,8.0,8.1,8.2,8.3
domains	domain_catalog	sql_identifier		Name of the database that contains the domain (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	domain_default	character_data		Default expression of the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	domain_name	sql_identifier		Name of the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	domain_schema	sql_identifier		Name of the schema that contains the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	dtd_identifier	sql_identifier		An identifier of the data type descriptor of the domain, unique among the data type descriptors pertaining to the domain (which is trivial, because a domain only contains one data type descriptor). This is mainly useful for joining with other instances of such identifiers. (The specific format of the identifier is not defined and not guaranteed to remain the same in future versions.)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	interval_precision	cardinal_number		Applies to a feature not available in PostgreSQL (see datetime_precision for the fractional seconds precision of interval type domains)	9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	interval_precision	character_data		Not yet implemented	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1
domains	interval_type	character_data		If data_type identifies an interval type, this column contains the specification which fields the intervals include for this domain, e.g., YEAR TO MONTH, DAY TO SECOND, etc. If no field restrictions were specified (that is, the interval accepts all fields), and for all other data types, this field is null	9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	interval_type	character_data		Not yet implemented	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1
domains	maximum_cardinality	cardinal_number		Always null, because arrays always have unlimited maximum cardinality in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	numeric_precision	cardinal_number		If the domain has a numeric type, this column contains the (declared or implicit) precision of the type for this column. The precision indicates the number of significant digits. It can be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.3
domains	numeric_precision	cardinal_number		If the domain has a numeric type, this column contains the (declared or implicit) precision of the type for this column. The precision indicates the number of significant digits. It may be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	7.4,8.0,8.1,8.2
domains	numeric_precision	cardinal_number		If the domain has a numeric type, this column contains the (declared or implicit) precision of the type for this domain. The precision indicates the number of significant digits. It can be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	numeric_precision_radix	cardinal_number		If the domain has a numeric type, this column indicates in which base the values in the columns numeric_precision and numeric_scale are expressed. The value is either 2 or 10. For all other data types, this column is null	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	numeric_scale	cardinal_number		If the domain has an exact numeric type, this column contains the (declared or implicit) scale of the type for this column. The scale indicates the number of significant digits to the right of the decimal point. It can be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.3
domains	numeric_scale	cardinal_number		If the domain has an exact numeric type, this column contains the (declared or implicit) scale of the type for this column. The scale indicates the number of significant digits to the right of the decimal point. It may be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	7.4,8.0,8.1,8.2
domains	numeric_scale	cardinal_number		If the domain has an exact numeric type, this column contains the (declared or implicit) scale of the type for this domain. The scale indicates the number of significant digits to the right of the decimal point. It can be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	scope_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	scope_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	scope_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	udt_catalog	sql_identifier		Name of the database that the domain data type is defined in (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	udt_name	sql_identifier		Name of the domain data type	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
domains	udt_schema	sql_identifier		Name of the schema that the domain data type is defined in	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	array_type_identifier	sql_identifier		The identifier of the data type descriptor of the array being described. Use this to join with the dtd_identifier columns of other information schema views	7.4,8.0,8.1
element_types	character_maximum_length	cardinal_number		Always null, since this information is not applied to array element data types in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	character_octet_length	cardinal_number		Always null, since this information is not applied to array element data types in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	character_set_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	character_set_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	character_set_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	collation_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
element_types	collation_catalog	sql_identifier		Name of the database containing the collation of the element type (always the current database), null if default or the data type of the element is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	collation_catalog	sql_identifier		Not yet implemented	9.1
element_types	collation_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
element_types	collation_name	sql_identifier		Name of the collation of the element type, null if default or the data type of the element is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	collation_name	sql_identifier		Not yet implemented	9.1
element_types	collation_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
element_types	collation_schema	sql_identifier		Name of the schema containing the collation of the element type, null if default or the data type of the element is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	collation_schema	sql_identifier		Not yet implemented	9.1
element_types	collection_type_identifier	sql_identifier		The identifier of the data type descriptor of the array being described. Use this to join with the dtd_identifier columns of other information schema views	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	data_type	character_data		Data type of the array elements, if it is a built-in type, else USER-DEFINED (in that case, the type is identified in udt_name and associated columns)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	datetime_precision	cardinal_number		Always null, since this information is not applied to array element data types in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	domain_default	character_data		Not yet implemented	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	dtd_identifier	sql_identifier		An identifier of the data type descriptor of the element. This is currently not useful	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	interval_precision	cardinal_number		Always null, since this information is not applied to array element data types in PostgreSQL	9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	interval_precision	character_data		Always null, since this information is not applied to array element data types in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1
element_types	interval_type	character_data		Always null, since this information is not applied to array element data types in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	maximum_cardinality	cardinal_number		Always null, because arrays always have unlimited maximum cardinality in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	numeric_precision	cardinal_number		Always null, since this information is not applied to array element data types in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	numeric_precision_radix	cardinal_number		Always null, since this information is not applied to array element data types in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	numeric_scale	cardinal_number		Always null, since this information is not applied to array element data types in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	object_catalog	sql_identifier		Name of the database that contains the object that uses the array being described (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	object_name	sql_identifier		Name of the object that uses the array being described	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	object_schema	sql_identifier		Name of the schema that contains the object that uses the array being described	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	object_type	character_data		The type of the object that uses the array being described: one of TABLE (the array is used by a column of that table), DOMAIN (the array is used by that domain), ROUTINE (the array is used by a parameter or the return data type of that function)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1
element_types	object_type	character_data		The type of the object that uses the array being described: one of TABLE (the array is used by a column of that table), USER-DEFINED TYPE (the array is used by an attribute of that composite type), DOMAIN (the array is used by that domain), ROUTINE (the array is used by a parameter or the return data type of that function)	9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	scope_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	scope_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	scope_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	udt_catalog	sql_identifier		Name of the database that the data type of the elements is defined in (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	udt_name	sql_identifier		Name of the data type of the elements	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
element_types	udt_schema	sql_identifier		Name of the schema that the data type of the elements is defined in	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
enabled_roles	role_name	sql_identifier		Name of a group	7.4,8.0,8.1
enabled_roles	role_name	sql_identifier		Name of a role	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrapper-options	foreign_data_wrapper_catalog	sql_identifier		Name of the database that the foreign-data wrapper is defined in (always the current database)	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrapper-options	foreign_data_wrapper_name	sql_identifier		Name of the foreign-data wrapper	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrapper-options	option_name	sql_identifier		Name of an option	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrapper-options	option_value	character_data		Value of the option	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrappers	authorization_identifier	sql_identifier		Name of the owner of the foreign server	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrappers	foreign_data_wrapper_catalog	sql_identifier		Name of the database that contains the foreign-data wrapper (always the current database)	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrappers	foreign_data_wrapper_language	character_data		Language used to implement this foreign-data wrapper	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrappers	foreign_data_wrapper_name	sql_identifier		Name of the foreign-data wrapper	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_data-wrappers	library_name	character_data		File name of the library that implementing this foreign-data wrapper	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_server-options	foreign_server_catalog	sql_identifier		Name of the database that the foreign server is defined in (always the current database)	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_server-options	foreign_server_name	sql_identifier		Name of the foreign server	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_server-options	option_name	sql_identifier		Name of an option	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_server-options	option_value	character_data		Value of the option	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_servers	authorization_identifier	sql_identifier		Name of the owner of the foreign server	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_servers	foreign_data_wrapper_catalog	sql_identifier		Name of the database that contains the foreign-data wrapper used by the foreign server (always the current database)	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
foreign_servers	foreign_data_wrapper_name	sql_identifier		Name of the foreign-data wrapper used by the foreign server	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
